House_Type,Family_Members,Number_of_Rooms,AC_Units,AC_Usage_Hours,Fan_Usage_Hours,Refrigerator_Usage_Hours,Washing_Machine_Usage_Hours,Water_Motor_Usage_Hours,Lighting_Hours,TV_Usage_Hours,Iron_Usage_Hours,Kitchen_Appliance_Hours,Daily_Appliance_Count,Outdoor_Temperature_C,Day_of_Week,Is_Weekend,Season,Is_Holiday,Daily_Electricity_Consumption_kWh,House_Type_enc,Day_of_Week_enc,Season_enc
Apartment,2,4,1,2.92,7.2,24,0.12,1.18,9.4,5.5,0.47,1.53,14,14.2,Tuesday,0,Winter,0,10.36,0,5,3
Independent House,2,3,1,0.0,4.26,24,1.3,1.79,7.57,5.4,0.29,2.67,13,10.9,Saturday,1,Winter,0,11.07,2,2,3
Apartment,2,5,1,1.87,9.91,24,0.56,2.13,7.54,6.35,0.22,0.94,11,24.6,Wednesday,0,Monsoon,0,9.3,0,6,0
Apartment,8,2,1,1.66,6.64,24,1.17,0.61,4.98,5.03,0.08,0.74,5,27.7,Thursday,0,Monsoon,0,14.18,0,4,0
Portion/Rented Unit,3,4,2,1.14,5.47,24,2.3,1.41,6.42,4.07,0.3,2.77,7,16.5,Monday,0,Winter,0,10.54,3,1,3
Apartment,4,3,1,1.14,11.03,24,0.52,1.07,8.61,5.91,0.18,2.66,13,16.1,Saturday,1,Winter,0,10.64,0,2,3
Independent House,4,3,3,6.19,14.19,24,0.62,1.75,5.47,5.69,0.03,1.12,8,37.9,Saturday,1,Summer,0,39.55625,2,2,2
Independent House,8,6,0,0.0,6.8,24,0.18,1.78,6.94,2.07,0.02,2.09,10,11.7,Thursday,0,Winter,0,11.34,2,4,3
Portion/Rented Unit,8,5,1,1.17,8.46,24,1.44,1.51,5.14,2.53,0.04,1.79,14,27.9,Sunday,1,Spring,0,7.96,3,3,1
Apartment,4,4,1,13.49,15.05,24,0.13,0.84,3.97,1.32,0.04,2.43,5,35.9,Wednesday,0,Summer,0,25.58,0,6,2
Portion/Rented Unit,2,3,3,0.0,15.81,24,0.81,1.46,1.0,6.55,0.15,1.6,6,27.8,Wednesday,0,Spring,0,8.71,3,6,1
Independent House,3,1,1,9.84,8.01,24,2.45,2.52,5.45,4.78,0.01,0.32,9,31.7,Saturday,1,Monsoon,1,23.45,2,2,0
Independent House,2,6,1,4.95,11.73,24,1.33,0.81,8.06,4.83,0.06,1.6,9,34.2,Sunday,1,Monsoon,0,18.58,2,3,0
Portion/Rented Unit,8,4,1,6.06,11.03,24,0.68,1.44,8.83,4.65,0.3,1.63,5,38.2,Monday,0,Summer,0,16.9,3,1,2
Portion/Rented Unit,8,4,0,0.0,7.79,24,1.48,0.83,3.41,6.16,0.41,2.43,6,27.4,Thursday,0,Monsoon,0,11.3,3,4,0
Apartment,7,2,0,0.0,11.99,24,0.05,1.24,5.86,0.0,0.38,1.1,12,38.4,Wednesday,0,Summer,0,7.49,0,6,2
Independent House,6,4,1,2.0,2.76,24,0.51,0.61,8.07,1.23,0.4,0.0,9,13.5,Wednesday,0,Winter,0,12.83,2,6,3
Bungalow,8,5,0,0.0,14.82,24,1.01,1.25,7.19,5.91,0.0,3.48,6,36.2,Thursday,0,Summer,0,19.7,1,4,2
Independent House,9,5,2,2.76,14.37,24,0.94,0.14,7.99,4.81,0.38,0.89,14,12.1,Friday,0,Winter,0,18.53,2,0,3
Apartment,6,4,2,1.79,8.15,24,0.98,1.5,6.13,3.39,0.36,4.76,5,30.0,Tuesday,0,Monsoon,0,14.89,0,5,0
Bungalow,6,4,3,4.15,13.8,24,1.67,1.18,6.98,5.1,0.07,2.41,13,31.2,Friday,0,Monsoon,0,39.55625,1,0,0
Portion/Rented Unit,2,1,1,0.16,13.59,24,1.28,1.25,7.12,1.5,0.07,2.7,7,10.1,Sunday,1,Winter,0,9.37,3,3,3
Independent House,7,4,3,1.61,14.67,24,0.4,1.05,4.0,1.28,0.39,1.0,11,23.5,Thursday,0,Monsoon,0,18.42,2,4,0
Bungalow,8,3,0,0.0,6.65,24,0.41,0.44,9.06,4.26,0.7,1.41,10,32.1,Friday,0,Monsoon,0,14.25,1,0,0
Independent House,2,6,1,1.76,10.94,24,0.72,0.14,10.29,2.86,0.23,1.77,12,11.8,Sunday,1,Winter,0,13.2,2,3,3
Apartment,6,6,3,0.73,10.68,24,0.2,0.6,8.12,5.76,0.61,2.9,5,14.6,Monday,0,Winter,0,12.74,0,1,3
Apartment,2,5,0,0.0,10.84,24,0.17,1.88,6.36,1.13,0.42,0.94,7,23.4,Tuesday,0,Spring,0,9.89,0,5,1
Portion/Rented Unit,7,3,0,0.0,8.09,24,0.58,1.48,5.93,2.27,0.04,3.16,6,26.3,Tuesday,0,Spring,1,8.48,3,5,1
Independent House,4,1,0,0.0,16.02,24,0.05,0.66,6.83,0.14,0.47,3.03,14,40.0,Tuesday,0,Summer,0,8.76,2,5,2
Apartment,9,4,0,0.0,9.62,24,0.81,0.77,6.07,3.96,0.02,1.38,9,44.5,Saturday,1,Summer,0,10.48,0,2,2
Independent House,8,5,1,0.0,9.71,24,0.2,1.03,8.46,3.96,1.14,2.69,7,9.8,Tuesday,0,Winter,1,12.32,2,5,3
Apartment,4,4,2,7.65,12.0,24,0.57,1.2,5.65,0.85,0.44,1.19,10,44.3,Wednesday,0,Summer,0,28.49,0,6,2
Apartment,4,5,2,1.07,6.62,24,2.06,1.41,9.34,7.65,0.04,0.0,14,6.1,Saturday,1,Winter,0,13.01,0,2,3
Independent House,7,4,2,8.45,5.13,24,0.31,1.39,6.12,3.7,0.13,0.0,5,28.7,Friday,0,Summer,0,33.37,2,0,2
Independent House,9,3,3,5.51,10.98,24,0.2,1.66,5.2,3.35,0.17,1.76,12,29.4,Friday,0,Monsoon,0,35.15,2,0,0
Independent House,2,5,3,8.27,15.59,24,0.26,1.1,3.51,2.35,0.63,1.13,9,37.5,Wednesday,0,Summer,0,39.55625,2,6,2
Independent House,2,6,0,0.0,8.5,24,0.25,0.68,4.58,6.12,0.37,3.23,8,30.9,Friday,0,Spring,1,10.87,2,0,1
Independent House,8,4,1,1.34,11.32,24,0.4,1.24,6.49,3.16,0.48,1.14,6,27.8,Tuesday,0,Monsoon,0,13.73,2,5,0
Bungalow,3,5,3,8.02,14.98,24,0.56,0.38,3.21,3.68,0.28,2.06,11,46.6,Friday,0,Summer,0,39.55625,1,0,2
Apartment,7,5,1,4.23,10.67,24,0.0,1.05,9.5,1.53,0.12,2.51,6,39.5,Thursday,0,Summer,0,16.71,0,4,2
Portion/Rented Unit,6,3,3,1.06,2.32,24,0.29,1.25,11.56,4.75,0.03,1.44,13,9.4,Monday,0,Winter,0,12.04,3,1,3
Apartment,8,4,1,4.21,11.86,24,0.99,1.41,5.49,8.24,0.15,3.43,14,31.0,Saturday,1,Summer,0,17.4,0,2,2
Apartment,6,3,0,0.0,14.78,24,1.25,1.16,7.53,4.97,0.11,3.42,8,27.6,Tuesday,0,Spring,0,10.9,0,5,1
Portion/Rented Unit,6,3,0,0.0,12.04,24,2.11,0.55,8.65,5.0,1.46,0.55,10,16.7,Thursday,0,Winter,0,5.8,3,4,3
Portion/Rented Unit,9,4,3,1.14,6.03,24,0.89,2.03,10.38,6.04,0.2,0.69,5,13.8,Thursday,0,Winter,0,12.31,3,4,3
Apartment,9,6,2,1.22,7.59,24,0.39,0.81,6.93,6.4,0.24,1.66,9,10.1,Monday,0,Winter,0,10.63,0,1,3
Portion/Rented Unit,4,3,3,1.33,10.61,24,0.1,0.28,8.8,5.78,0.11,3.12,8,11.1,Friday,0,Winter,0,13.25,3,0,3
Portion/Rented Unit,4,3,1,7.71,16.81,24,1.21,1.19,5.93,6.1,0.3,1.98,14,37.4,Monday,0,Monsoon,0,16.06,3,1,0
Apartment,6,4,1,7.62,12.91,24,0.54,0.79,6.21,0.87,0.25,1.16,7,29.5,Sunday,1,Summer,0,20.01,0,3,2
Independent House,6,2,2,6.72,11.85,24,0.29,0.55,9.89,3.31,0.08,1.1,9,41.9,Thursday,0,Summer,0,28.4,2,4,2
Portion/Rented Unit,2,2,0,0.0,13.66,24,0.34,2.13,4.99,2.78,0.26,2.52,12,39.1,Thursday,0,Summer,0,4.17,3,4,2
Apartment,4,4,3,7.42,13.47,24,0.33,1.92,5.07,3.42,0.13,3.73,9,39.6,Wednesday,0,Summer,0,38.19,0,6,2
Independent House,5,3,2,1.14,14.86,24,0.66,2.09,1.92,4.2,0.26,2.91,14,35.9,Thursday,0,Summer,0,37.28,2,4,2
Independent House,7,1,0,0.0,11.62,24,1.66,0.31,4.93,7.18,0.09,1.06,12,15.4,Saturday,1,Winter,0,9.57,2,2,3
Independent House,3,4,0,0.0,11.17,24,0.3,1.65,8.13,6.62,0.19,1.83,9,14.8,Wednesday,0,Winter,0,11.71,2,6,3
Independent House,3,4,2,0.0,5.03,24,1.12,1.64,7.57,6.59,0.03,1.06,7,5.1,Tuesday,0,Winter,0,9.99,2,5,3
Apartment,4,4,0,0.0,16.39,24,0.0,1.2,6.32,3.8,0.01,2.44,6,39.6,Friday,0,Summer,0,7.31,0,0,2
Apartment,2,1,0,0.0,12.98,24,0.61,1.03,9.79,5.05,0.01,2.25,7,6.8,Wednesday,0,Winter,0,8.24,0,6,3
Bungalow,7,5,0,0.0,16.72,24,0.84,1.72,5.17,1.7,0.43,0.0,10,14.8,Tuesday,0,Winter,0,12.3,1,5,3
Independent House,9,3,0,0.0,12.08,24,0.35,1.06,8.59,4.84,0.04,2.53,11,33.7,Wednesday,0,Monsoon,0,15.04,2,6,0
Portion/Rented Unit,5,3,3,2.33,7.43,24,0.3,0.32,4.64,3.08,0.53,3.33,11,8.3,Wednesday,0,Winter,1,12.43,3,6,3
Independent House,2,4,2,0.49,10.59,24,0.98,0.99,5.25,3.54,0.29,0.04,9,27.1,Saturday,1,Spring,0,6.95,2,2,1
Portion/Rented Unit,4,2,1,0.0,5.74,24,0.22,1.34,10.24,1.66,0.18,1.85,5,4.7,Wednesday,0,Winter,0,11.24,3,6,3
Portion/Rented Unit,5,7,1,5.87,11.51,24,0.74,2.26,7.92,4.77,0.19,1.52,9,38.3,Saturday,1,Summer,0,14.65,3,2,2
Independent House,8,3,2,0.02,8.38,24,1.98,0.82,9.14,7.2,0.06,3.6,11,7.5,Saturday,1,Winter,0,13.87,2,2,3
Apartment,4,4,3,7.49,17.35,24,0.15,1.85,7.75,2.52,0.27,0.0,5,40.0,Friday,0,Summer,1,36.4,0,0,2
Portion/Rented Unit,7,4,1,0.4,8.38,24,0.6,1.39,8.95,6.68,0.14,0.0,11,14.1,Sunday,1,Winter,0,7.99,3,3,3
Portion/Rented Unit,5,1,0,0.0,10.06,24,0.23,0.34,5.12,4.62,0.54,1.79,8,27.0,Monday,0,Monsoon,0,8.06,3,1,0
Portion/Rented Unit,5,3,2,1.71,5.35,24,1.18,1.79,6.88,4.77,0.04,1.43,14,28.1,Monday,0,Spring,0,11.39,3,1,1
Apartment,5,2,1,1.29,7.56,24,1.85,0.83,5.1,4.69,0.07,0.93,12,29.2,Saturday,1,Spring,1,9.7,0,2,1
Apartment,6,2,0,0.0,8.01,24,0.76,1.82,5.62,5.76,0.91,2.31,5,32.2,Sunday,1,Monsoon,0,11.4,0,3,0
Independent House,9,3,3,5.7,8.86,24,0.1,1.9,5.92,3.32,0.72,1.04,9,37.4,Friday,0,Summer,0,36.32,2,0,2
Independent House,4,2,0,0.0,7.73,24,0.85,0.82,8.11,10.22,0.08,2.04,12,35.8,Sunday,1,Summer,0,8.64,2,3,2
Apartment,5,2,0,0.0,5.08,24,0.53,2.15,5.19,1.11,0.26,0.3,14,28.7,Friday,0,Winter,0,6.04,0,0,3
Apartment,5,5,0,0.0,16.98,24,1.02,0.66,5.45,3.9,0.29,0.66,13,45.5,Tuesday,0,Summer,0,9.87,0,5,2
Independent House,9,5,3,5.6,10.03,24,0.41,1.29,2.39,4.96,0.18,1.5,10,34.2,Friday,0,Summer,0,35.38,2,0,2
Independent House,4,5,2,9.35,12.54,24,0.64,1.75,2.22,4.46,0.16,1.8,10,40.7,Saturday,1,Summer,0,38.67,2,2,2
Apartment,6,1,1,2.9,14.2,24,1.57,1.01,8.86,5.04,0.55,0.81,6,24.0,Sunday,1,Spring,0,13.74,0,3,1
Independent House,5,3,0,0.0,14.47,24,0.74,1.08,9.5,2.1,0.04,3.31,10,29.7,Tuesday,0,Spring,0,11.79,2,5,1
Independent House,3,2,0,0.0,10.52,24,0.07,1.88,8.25,5.56,0.14,1.19,12,9.3,Monday,0,Winter,0,10.73,2,1,3
Apartment,8,2,2,5.03,12.73,24,0.12,1.12,3.91,2.34,0.14,1.92,13,40.6,Thursday,0,Summer,0,19.78,0,4,2
Apartment,5,6,3,0.0,7.22,24,2.28,2.24,8.17,0.46,0.16,0.91,6,14.6,Friday,0,Winter,0,12.4,0,0,3
Portion/Rented Unit,4,4,2,8.23,8.66,24,0.82,1.22,6.31,7.03,0.23,1.21,10,31.3,Saturday,1,Summer,0,23.96,3,2,2
Portion/Rented Unit,8,4,3,0.82,6.84,24,0.76,0.72,7.77,7.08,0.79,4.24,9,24.4,Sunday,1,Spring,1,14.84,3,3,1
Portion/Rented Unit,9,3,1,5.3,10.44,24,0.38,0.17,7.45,5.72,0.26,2.25,10,28.5,Tuesday,0,Monsoon,0,16.83,3,5,0
Independent House,2,2,0,0.0,11.38,24,0.35,0.98,8.09,3.96,0.16,1.37,5,28.4,Thursday,0,Monsoon,0,8.75,2,4,0
Portion/Rented Unit,6,3,1,8.39,13.36,24,0.93,1.53,7.92,6.42,0.17,1.55,14,31.6,Sunday,1,Summer,0,18.35,3,3,2
Apartment,9,1,0,0.0,16.35,24,0.32,3.07,8.16,5.99,0.19,2.23,11,27.4,Friday,0,Spring,0,12.8,0,0,1
Apartment,3,2,1,1.85,11.4,24,0.63,1.31,9.8,0.0,0.85,1.57,13,15.7,Monday,0,Winter,0,8.78,0,1,3
Independent House,9,3,1,6.76,11.03,24,0.59,1.13,6.26,3.38,0.45,1.83,14,35.5,Monday,0,Summer,0,20.95,2,1,2
Independent House,7,3,0,0.0,5.66,24,1.69,1.7,8.76,1.92,0.01,0.66,6,15.6,Monday,0,Winter,0,11.45,2,1,3
Bungalow,6,6,2,5.11,12.62,24,0.28,2.54,8.77,3.92,0.81,3.93,11,29.5,Wednesday,0,Monsoon,0,39.55625,1,6,0
Portion/Rented Unit,5,2,0,0.0,10.57,24,1.25,0.7,8.38,2.92,0.08,1.14,7,34.8,Saturday,1,Monsoon,0,9.11,3,2,0
Portion/Rented Unit,8,4,1,6.31,12.76,24,1.0,1.99,5.72,4.93,0.03,0.99,14,34.2,Sunday,1,Summer,0,15.29,3,3,2
Apartment,5,3,2,4.82,9.4,24,1.15,1.95,3.66,4.64,0.01,2.72,9,29.4,Wednesday,0,Monsoon,0,19.46,0,6,0
Bungalow,7,3,2,2.82,9.56,24,1.17,0.72,4.18,4.71,0.47,3.0,9,14.1,Tuesday,0,Winter,1,26.16,1,5,3
Bungalow,4,5,3,6.5,6.08,24,1.16,1.73,2.41,6.77,0.03,1.64,12,42.2,Friday,0,Summer,0,39.55625,1,0,2
Apartment,3,5,1,8.27,12.85,24,0.46,2.29,9.6,5.36,0.83,1.88,5,29.3,Wednesday,0,Monsoon,1,21.1,0,6,0
Independent House,6,5,2,5.38,13.33,24,1.67,0.63,6.56,3.64,0.11,2.28,6,29.6,Thursday,0,Monsoon,0,30.83,2,4,0
Independent House,9,6,3,2.59,6.11,24,1.0,0.96,4.5,2.44,0.15,2.19,7,14.5,Saturday,1,Winter,0,22.82,2,2,3
Independent House,9,1,0,0.0,3.81,24,0.52,1.24,12.01,5.95,0.03,3.66,9,9.5,Sunday,1,Winter,0,13.03,2,3,3
Bungalow,2,4,3,2.58,7.78,24,0.06,0.75,7.59,4.72,0.3,3.28,7,16.3,Monday,0,Winter,0,30.92,1,1,3
Bungalow,3,6,1,0.32,6.8,24,0.77,2.39,11.16,5.01,0.02,1.57,6,7.7,Tuesday,0,Winter,0,19.4,1,5,3
Portion/Rented Unit,9,2,1,6.89,15.62,24,0.85,0.83,2.31,3.64,0.15,1.17,13,32.2,Tuesday,0,Monsoon,1,15.05,3,5,0
